problem;trial;r2_train;r2_test;seed;best_model
Nguyen-11;1;1.0;1.0;29802;exp(y*log(x))
Nguyen-11;2;1.0;1.0;22118;exp(y*log(x))
Nguyen-11;3;1.0;1.0;860;exp(y*log(x))
Nguyen-11;4;1.0;1.0;15795;exp(y*log(x))
Nguyen-11;5;1.0;1.0;21575;exp(log(x)*log(exp(y)))
Nguyen-11;6;1.0;1.0;5390;exp(y*log(x))
Nguyen-11;7;1.0;1.0;11964;exp(y*log(x))
Nguyen-11;8;1.0;1.0;6265;exp(y*log(x))
Nguyen-11;9;1.0;1.0;23654;exp(y*log(x))
Nguyen-11;10;1.0;1.0;11284;exp(y*log(x))
