problem;trial;r2_train;r2_test;seed;best_model
Nguyen-7;1;1.0;1.0;29802;log(x**2*(x + 1) + x + 1)
Nguyen-7;2;1.0;1.0;22118;log(x**2*(x + 1) + x + 1)
Nguyen-7;3;1.0;1.0;860;log(x**2 + x*(x*log(exp(x)) + 1) + 1)
Nguyen-7;4;1.0;1.0;15795;log(x**2*(x + 1) + x + 1)
Nguyen-7;5;1.0;1.0;21575;log(x**2 + log(exp(x*(x**2 + 1))) + 1)
Nguyen-7;6;1.0;1.0;5390;log(x**2*(x + 1) + x + 1)
Nguyen-7;7;1.0;1.0;11964;log(x**3 + x**2 + x + 1)
Nguyen-7;8;1.0;1.0;6265;log(x**3 + x**2 + x + 1)
Nguyen-7;9;1.0;1.0;23654;log(x**3 + x**2 + x + 1)
Nguyen-7;10;1.0;1.0;11284;log(x**2*(x + 1) + x + 1)
