problem;trial;r2_train;r2_test;seed
678_visualizing_environmental;1;0.5857248542312441;-0.20187316680458278;29802
678_visualizing_environmental;2;0.5273711807281286;0.37498988068847305;22118
678_visualizing_environmental;3;0.5500907884420256;0.2898711212390378;860
678_visualizing_environmental;4;0.5581269943758974;0.33844556852209784;15795
678_visualizing_environmental;5;0.5238891659826808;0.24249674888996886;21575
678_visualizing_environmental;6;0.563880241095783;-0.24068484772241505;5390
678_visualizing_environmental;7;0.5602138706292616;0.12349054603571719;11964
678_visualizing_environmental;8;0.5699015614547033;0.015112092403993915;6265
678_visualizing_environmental;9;0.5618028716533627;0.33163121536457174;23654
678_visualizing_environmental;10;0.49265716675619475;0.3133326277361801;11284
