problem;trial;r2_train;r2_test;seed
Nguyen-4;1;0.9998891426990041;-3728.411190915389;29802
Nguyen-4;2;0.9999716818462611;-0.169354503871882;22118
Nguyen-4;3;0.9999635530499198;-520.4946645463507;860
Nguyen-4;4;0.9999494643174223;0.7107077014596906;15795
Nguyen-4;5;0.999974290070487;-15.25478656352944;21575
Nguyen-4;6;1.0;1.0;5390
Nguyen-4;7;0.9999994692657003;0.5482931802947082;11964
Nguyen-4;8;0.999906231587323;0.32594766569802147;6265
Nguyen-4;9;0.9999661595265353;-378577.0057344763;23654
Nguyen-4;10;0.9998989166653282;0.7555629277548951;11284
