problem;trial;r2_train;r2_test;seed
1096_FacultySalaries;1;0.9767182507343753;0.9157994091559893;29802
1096_FacultySalaries;2;0.9803888885908263;0.9165116967750282;22118
1096_FacultySalaries;3;0.9780267552798293;0.8959509415826397;860
1096_FacultySalaries;4;0.9996757503744214;0.18715319862893576;15795
1096_FacultySalaries;5;0.9743169521032309;0.824006880198306;21575
1096_FacultySalaries;6;0.9981737236075225;-0.6885135972061531;5390
1096_FacultySalaries;7;0.987966684023294;0.9058329628455263;11964
1096_FacultySalaries;8;0.9808426689279085;0.9442587900294287;6265
1096_FacultySalaries;9;0.9769967601575327;0.953636642461188;23654
1096_FacultySalaries;10;0.9748394957841016;0.8271533837436877;11284
