problem;trial;r2_train;r2_test;seed
542_pollution;1;0.8678935046302855;0.23088582903547383;29802
542_pollution;2;0.8283148644219636;0.1094252335233179;22118
542_pollution;3;0.8655639961721955;0.11762079277681892;860
542_pollution;4;0.8066051342111052;0.5894270558432387;15795
542_pollution;5;0.8224550347434143;0.017581940007318053;21575
542_pollution;6;0.8421501861319547;0.22971801840185901;5390
542_pollution;7;0.8596543037125458;-1.0938710421431734;11964
542_pollution;8;0.8840533590755449;0.6067617810000436;6265
542_pollution;9;0.8666623694822897;0.22853685498848897;23654
542_pollution;10;0.8988941743924582;0.1816020606241011;11284
