problem;trial;r2_train;r2_test;seed
519_vinnie;1;0.7780643320369531;0.6748797138271674;29802
519_vinnie;2;0.7670949723082623;0.7011612083623804;22118
519_vinnie;3;0.7404644581023311;0.7810698906270015;860
519_vinnie;4;0.7557205123459001;0.7422420153780349;15795
519_vinnie;5;0.7738652667885438;0.6930067758704637;21575
519_vinnie;6;0.767887083813139;0.7120715183311619;5390
519_vinnie;7;0.7572075674163686;0.7147332995198294;11964
519_vinnie;8;0.7542153901449076;0.7587488135643772;6265
519_vinnie;9;0.7475035459421806;0.7712810024629835;23654
519_vinnie;10;0.7584422812538947;0.7355466568038351;11284
