problem;trial;r2_train;r2_test;seed
485_analcatdata_vehicle;1;0.9562516569062207;-0.17156014630480798;29802
485_analcatdata_vehicle;2;0.923367244872187;0.6915099229217143;22118
485_analcatdata_vehicle;3;0.9604647591076472;0.2433063202336524;860
485_analcatdata_vehicle;4;0.9520250722813814;-0.6737070524617248;15795
485_analcatdata_vehicle;5;0.9507200483563133;0.6530341640099258;21575
485_analcatdata_vehicle;6;0.9585597123392826;-0.9885936466916883;5390
485_analcatdata_vehicle;7;0.9416001438309799;0.7809377158709528;11964
485_analcatdata_vehicle;8;0.9602217418581384;0.4941168401088527;6265
485_analcatdata_vehicle;9;0.9444591505658873;0.8756186124135065;23654
485_analcatdata_vehicle;10;0.9377473634329329;0.5607232027926023;11284
