problem;trial;r2_train;r2_test;seed
712_chscase_geyser1;1;0.7731678933463484;0.8071731773145892;29802
712_chscase_geyser1;2;0.8078550859002516;0.7484923685586484;22118
712_chscase_geyser1;3;0.8185079925861299;0.7072464674827853;860
712_chscase_geyser1;4;0.7837809163864075;0.8380674967561879;15795
712_chscase_geyser1;5;0.7970770572659793;0.725954545501773;21575
712_chscase_geyser1;6;0.8164632028917307;0.6173348441709923;5390
712_chscase_geyser1;7;0.7934928864959542;0.7781386769075218;11964
712_chscase_geyser1;8;0.8002311358977452;0.747954045470022;6265
712_chscase_geyser1;9;0.8280507876086993;0.6966849006795852;23654
712_chscase_geyser1;10;0.7899048289525511;0.7656500189255918;11284
