problem;trial;r2_train;r2_test;seed
503_wind;1;0.7513195437817166;0.7335280247147118;29802
503_wind;2;0.7647089508848839;0.7910251725408567;22118
503_wind;3;0.7624443845016077;0.7462214508118151;860
503_wind;4;0.7477021991255967;0.7411001862612401;15795
503_wind;5;0.7550830870329456;0.7473679245673477;21575
503_wind;6;0.7666632717631533;0.7612051808259551;5390
503_wind;7;0.7634998627160516;0.75055150013649;11964
503_wind;8;0.7664155280647018;0.7482862974681748;6265
503_wind;9;0.7634392073277961;0.7576114609753869;23654
503_wind;10;0.7665735237452824;0.7461809971293853;11284
