problem;trial;r2_train;r2_test;seed
229_pwLinear;1;0.8710770650133045;0.7635698819103879;29802
229_pwLinear;2;0.87382277211687;0.8335829369147851;22118
229_pwLinear;3;0.8711297729712253;0.8925034318172741;860
229_pwLinear;4;0.8512329044951416;0.8088368815364425;15795
229_pwLinear;5;0.849605560831606;0.808633109985077;21575
229_pwLinear;6;0.8565419630960983;0.8144157874465352;5390
229_pwLinear;7;0.8536113305842636;0.814122253379255;11964
229_pwLinear;8;0.8671233121231079;0.8261121695862395;6265
229_pwLinear;9;0.842736697926233;0.7213121776456973;23654
229_pwLinear;10;0.8826314536064328;0.8167345536344648;11284
