problem;trial;r2_train;r2_test;seed
228_elusage;1;0.913036743857889;0.4844659627679371;29802
228_elusage;2;0.9029256898492987;0.6606246806718274;22118
228_elusage;3;0.9008135750743479;0.8172047137361842;860
228_elusage;4;0.8712009639172235;0.660020621535002;15795
228_elusage;5;0.8892316993847391;0.8594590772672592;21575
228_elusage;6;0.9010074771409177;0.2804887548250259;5390
228_elusage;7;0.8954690008408073;0.8244597428209003;11964
228_elusage;8;0.8975610782637006;0.7885361133590749;6265
228_elusage;9;0.90394947584001;0.7852444561790533;23654
228_elusage;10;0.9372847775905365;0.3849388154621831;11284
