problem;trial;r2_train;r2_test;seed
556_analcatdata_apnea2;1;0.8957264681461172;0.8586496158367954;29802
556_analcatdata_apnea2;2;0.879502706424737;0.8370986538990463;22118
556_analcatdata_apnea2;3;0.8709814618637892;0.8807416057441175;860
556_analcatdata_apnea2;4;0.881506401128415;0.8855162752591628;15795
556_analcatdata_apnea2;5;0.8826860044946049;0.8622144093501775;21575
556_analcatdata_apnea2;6;0.8860609111186571;0.8502587735808278;5390
556_analcatdata_apnea2;7;0.8964298597658622;0.8444799038253701;11964
556_analcatdata_apnea2;8;0.8831823299134295;0.8942107867585322;6265
556_analcatdata_apnea2;9;0.887894405460402;0.8969744293217697;23654
556_analcatdata_apnea2;10;0.8791402016496961;0.8966633936595162;11284
