problem;trial;r2_train;r2_test;seed
210_cloud;1;0.9253330360780548;0.9355165820399599;29802
210_cloud;2;0.9375753301691947;0.8634616290362847;22118
210_cloud;3;0.9352093698466646;0.6460601328041393;860
210_cloud;4;0.9396844080361895;0.5554095245743679;15795
210_cloud;5;0.9429159702421609;0.8926261031743148;21575
210_cloud;6;0.9466489760699851;0.6917543837937088;5390
210_cloud;7;0.9493540474831627;0.8993956915528496;11964
210_cloud;8;0.9373387763504876;0.5956482413901019;6265
210_cloud;9;0.9367913876204129;0.9245709027859834;23654
210_cloud;10;0.9525214138855262;0.514230514903525;11284
