problem;trial;r2_train;r2_test;seed
230_machine_cpu;1;0.9503012078924433;0.9420165644938935;29802
230_machine_cpu;2;0.9499863687900855;0.9107385636158171;22118
230_machine_cpu;3;0.9503797756675467;0.8883520884223064;860
230_machine_cpu;4;0.9589663961326992;0.8734168909205484;15795
230_machine_cpu;5;0.9494805556505996;0.5891057901029664;21575
230_machine_cpu;6;0.9501666170342251;0.8658790231060056;5390
230_machine_cpu;7;0.9709351958614639;-1.180822922757089;11964
230_machine_cpu;8;0.9385741094190287;0.6337425027142517;6265
230_machine_cpu;9;0.9450609613063278;0.8863760295728784;23654
230_machine_cpu;10;0.9411579178071424;0.9521240343331766;11284
