problem;trial;r2_train;r2_test;seed
1029_LEV;1;0.5912523287801228;0.5281172607973044;29802
1029_LEV;2;0.5867692526111826;0.5666741252566785;22118
1029_LEV;3;0.5720317836484903;0.6053509114251944;860
1029_LEV;4;0.6020650895653286;0.509125019893764;15795
1029_LEV;5;0.5912300797285677;0.5346056414675295;21575
1029_LEV;6;0.5817386010509586;0.5579745922847816;5390
1029_LEV;7;0.5625944038035438;0.6088192797211671;11964
1029_LEV;8;0.5959422783049066;0.5190838272286133;6265
1029_LEV;9;0.5871010921001483;0.5518377891107307;23654
1029_LEV;10;0.5610606946750363;0.6074637899802249;11284
