problem;trial;r2_train;r2_test;seed;best_model
Nguyen-13;1;0.9999556704945807;0.9999647959725904;29802;x*(2.3989885105371014*x**2 + 1.0*x*log(exp(x)) + 2.086072151556531*x + 1.7779062214538228)
Nguyen-13;2;0.9998699214183276;0.9995881673964538;22118;x*(3*x**2 + x + exp(x) + 0.6974985576913311)
Nguyen-13;3;0.9999197334384645;0.9998078254978012;860;x*(2.0*x**2 + 1.0*x**2*exp(-0.29940745026122055*cos(x)) + 1.0*x + 1.0*exp(x) + 0.7775636093811966)
Nguyen-13;4;0.9999189165725199;0.9999553181677443;15795;x*(2*x**2 + x*sin(x) + x + exp(x) + 0.7753529913283932)
Nguyen-13;5;0.9999367158805518;0.9999237448362054;21575;x*(2.6622017701517053*x**2 + x + exp(x) + 1.7878664205298915) - sin(x)
Nguyen-13;6;0.9999439965958774;0.9998944749389165;5390;x*(x**2 + x + exp(x) + exp(sin(x**2)) - cos(x) + 0.841470984807897)
Nguyen-13;7;0.9998742916334699;0.9998396949921062;11964;x*(1.51466450057619*x**2 + x + exp(x) - cos(2*x) + 1.6306109861062126)
Nguyen-13;8;0.9999449046521826;0.9998840442867384;6265;x*(3.3468673538699165*x**2 + 2.1018867009290958*x + 1.7810149706993477)
Nguyen-13;9;0.9999951961417766;0.9999898851748886;23654;x*(3.382707193866479*x**2 + 2.1150653976400736*x + 1.7763174132146763)
Nguyen-13;10;0.9999449743746905;0.9999069200303525;11284;x*(2.839791979553834*x**2 + x + exp(x) + 0.78046959528111016)
