problem;trial;r2_train;r2_test;seed
Nguyen-10;1;0.999843605857396;-0.23295405486938936;29802
Nguyen-10;2;0.9996768467351713;-1.9968607559130822;22118
Nguyen-10;3;0.9998982975316831;-10.381514474686215;860
Nguyen-10;4;0.9999893738843059;-0.1619393344712603;15795
Nguyen-10;5;1.0;1.0;21575
Nguyen-10;6;0.9997622129370257;-0.2352253972190208;5390
Nguyen-10;7;0.9995348853990274;-0.8616051357492109;11964
Nguyen-10;8;0.9995348853990274;-0.8616051357492109;6265
Nguyen-10;9;1.0;1.0;23654
Nguyen-10;10;1.0;1.0;11284
