problem;trial;r2_train;r2_test;seed
663_rabe_266;1;0.9963318792951193;0.9944571659599568;29802
663_rabe_266;2;0.9960449686025733;0.9951265003933343;22118
663_rabe_266;3;0.9966286261213915;0.9951027571127898;860
663_rabe_266;4;0.9977953299810122;0.9961722222447632;15795
663_rabe_266;5;0.995829672166526;0.993203248165681;21575
663_rabe_266;6;0.995634735935481;0.9927080395057611;5390
663_rabe_266;7;0.9957878590760463;0.9951744042298939;11964
663_rabe_266;8;0.9966844578793942;0.9943712810527009;6265
663_rabe_266;9;0.9963026569250134;0.9961567401170858;23654
663_rabe_266;10;0.9963112360791531;0.9959438857075867;11284
